Year,Month,Company,Standard_Company,Category,Segment,Sub-Segment,1,2,3
2024,December,Total Compact,Total Compact,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Compact,88921.0,72885.0,20879.0
2024,December,Honda Cars India Ltd (City),Honda Cars India (City),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,1830.0,757.0,1164.0
2024,December,Hyundai Motor India Ltd (Verna),Hyundai Motor India (Verna),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,4546.0,872.0,4054.0
2024,December,Maruti Suzuki India Ltd (Ciaz),Maruti Suzuki India (Ciaz),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,1029.0,464.0,956.0
2024,December,Nissan Motor India Pvt Ltd (Sunny),Nissan Motor India Pvt (Sunny),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,4217.0,0.0,6988.0
2024,December,"Volkswagen India Pvt Ltd (Vento,Virtus)","Volkswagen India Pvt (Vento,Virtus)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,2968.0,2257.0,2489.0
2024,December,Total Mid-Size,Total Mid-Size,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Mid-Size,14590.0,4350.0,15651.0
2024,December,"SkodaAuto India Pvt Ltd (Octavia,Slavia)","Skodaauto India Pvt (Octavia,Slavia)",Passenger Vehicles,Passenger Cars - Upto 5 Seats,Executive,881.0,1895.0,6.0
2024,December,Total Executive,Total Executive,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Executive,881.0,1895.0,6.0
2024,December,SkodaAuto India Pvt Ltd (Superb),Skodaauto India Pvt (Superb),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Premium,0.0,1.0,0.0
2024,December,Toyota Kirloskar Motor Pvt Ltd (Camry),Toyota Kirloskar Motor Pvt (Camry),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Premium,107.0,88.0,0.0
2024,December,Total Premium,Total Premium,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Premium,107.0,89.0,0.0
2024,December,Hyundai Motor India Ltd (Other),Hyundai Motor India (Other),Passenger Vehicles,Passenger Cars - Upto 5 Seats,Luxury,0.0,0.0,0.0
2024,December,Total Luxury,Total Luxury,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Luxury,0.0,0.0,0.0
2024,December,Total Passenger Cars,Total Passenger Cars,Passenger Vehicles,Passenger Cars - Upto 5 Seats,Luxury,116519.0,87265.0,41735.0
2024,December,Honda Cars India Ltd (WR-V),Honda Cars India (Wr-V),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,0.0,0.0,0.0
2024,December,"Hyundai Motor India Ltd (Exter,Venue)","Hyundai Motor India (Exter,Venue)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,17252.0,15535.0,982.0
2024,December,Kia India Pvt Ltd (Sonet),Kia India Pvt (Sonet),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,5828.0,3337.0,1230.0
2024,December,"Mahindra & Mahindra Ltd (Bolero,Kuv100,Thar,XUV 3XO,Xuv300,XUV400)","Mahindra & Mahindra (Bolero,Kuv100,Thar,Xuv 3Xo,Xuv300,Xuv400)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,14207.0,16673.0,1276.0
2024,December,"Maruti Suzuki India Ltd (OEM Model#,Brezza,Fronx,Jimny)","Maruti Suzuki India (Oem Model#,Brezza,Fronx,Jimny)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,41930.0,29188.0,13157.0
2024,December,Nissan Motor India Pvt Ltd (Magnite),Nissan Motor India Pvt (Magnite),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,2975.0,2117.0,2570.0
2024,December,"PCA Motors Pvt. Ltd (C3,EC3)","Pca Motors Pvt. (C3,Ec3)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,86.0,390.0,8.0
2024,December,"Renault India Pvt Ltd (Kiger,Triber)","Renault India Pvt (Kiger,Triber)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,1902.0,2253.0,1289.0
2024,December,"Tata Motors Ltd (Nexon,Punch)","Tata Motors (Nexon,Punch)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,,,
2024,December,Toyota Kirloskar Motor Pvt Ltd (Urban Cruiser Taisor),Toyota Kirloskar Motor Pvt (Urban Cruiser Taisor),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,0.0,2628.0,0.0
2024,December,Total UVC,Total Uvc,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UVC,84180.0,72121.0,20512.0
2024,December,"Force Motors Ltd (Gurkha,Trax)","Force Motors (Gurkha,Trax)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,91.0,33.0,0.0
2024,December,Honda Cars India Ltd (Elevate),Honda Cars India (Elevate),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,4170.0,2148.0,2693.0
2024,December,Hyundai Motor India Ltd (Creta),Hyundai Motor India (Creta),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,14770.0,12608.0,386.0
2024,December,JSW MG Motor India Pvt Ltd (Astor),Jsw Mg Motor India Pvt (Astor),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,587.0,661.0,0.0
2024,December,Kia India Pvt Ltd (Seltos),Kia India Pvt (Seltos),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,4287.0,2830.0,381.0
2024,December,"Maruti Suzuki India Ltd (OEM Model#,Ertiga,Grand Vitara)","Maruti Suzuki India (Oem Model#,Ertiga,Grand Vitara)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,19732.0,23151.0,4093.0
2024,December,Nissan Motor India Pvt Ltd (Kicks),Nissan Motor India Pvt (Kicks),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,0.0,0.0,0.0
2024,December,"PCA Motors Pvt. Ltd (Basalt,C3 Aircross)","Pca Motors Pvt. (Basalt,C3 Aircross)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,51.0,175.0,0.0
2024,December,SkodaAuto India Pvt Ltd (Kushaq),Skodaauto India Pvt (Kushaq),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,0.0,0.0,0.0
2024,December,Tata Motors Ltd (Curvv),Tata Motors (Curvv),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,,,
2024,December,"Toyota Kirloskar Motor Pvt Ltd (Model Manufactured for the sale to other OE,Rumion,Urban Cruiser HyRyder)","Toyota Kirloskar Motor Pvt (Model Manufactured For The Sale To Other Oe,Rumion,Urban Cruiser Hyryder)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,15027.0,6545.0,4642.0
2024,December,Volkswagen India Pvt Ltd (Taigun),Volkswagen India Pvt (Taigun),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,1953.0,2335.0,1604.0
2024,December,Total UV1,Total Uv1,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV1,60668.0,50486.0,13799.0
2024,December,Hyundai Motor India Ltd (Alcazar),Hyundai Motor India (Alcazar),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,2148.0,1342.0,858.0
2024,December,JSW MG Motor India Pvt Ltd (Hector),Jsw Mg Motor India Pvt (Hector),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,1377.0,1373.0,0.0
2024,December,Kia India Pvt Ltd (Carens),Kia India Pvt (Carens),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,4250.0,2626.0,539.0
2024,December,"Mahindra & Mahindra Ltd (Bolero Neo Plus,Marazzo,Scorpio,Thar Roxx,Xuv700)","Mahindra & Mahindra (Bolero Neo Plus,Marazzo,Scorpio,Thar Roxx,Xuv700)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,23572.0,24751.0,258.0
2024,December,Maruti Suzuki India Ltd (XL6),Maruti Suzuki India (Xl6),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,2550.0,2487.0,69.0
2024,December,"Tata Motors Ltd (Harrier,Safari)","Tata Motors (Harrier,Safari)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,,,
2024,December,Total UV2,Total Uv2,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV2,33897.0,32579.0,1724.0
2024,December,Force Motors Ltd (Trax),Force Motors (Trax),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV3,198.0,134.0,0.0
2024,December,"Isuzu Motors India Pvt Ltd (Hi-Lander,V-Cross)","Isuzu Motors India Pvt (Hi-Lander,V-Cross)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV3,0.0,0.0,0.0
2024,December,"Toyota Kirloskar Motor Pvt Ltd (Innova Crysta,Innova HyCross)","Toyota Kirloskar Motor Pvt (Innova Crysta,Innova Hycross)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV3,8874.0,9700.0,0.0
2024,December,Total UV3,Total Uv3,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV3,9072.0,9834.0,0.0
2024,December,FCA India Automobiles Pvt Ltd (Jeep Compass),Fca India Automobiles Pvt (Jeep Compass),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,153.0,175.0,50.0
2024,December,Force Motors Ltd (Gurkha),Force Motors (Gurkha),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,0.0,0.0,0.0
2024,December,"Hyundai Motor India Ltd (Kona,Tucson)","Hyundai Motor India (Kona,Tucson)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,50.0,33.0,0.0
2024,December,"Isuzu Motors India Pvt Ltd (Hi-Lander,V-Cross)","Isuzu Motors India Pvt (Hi-Lander,V-Cross)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,0.0,46.0,0.0
2024,December,JSW MG Motor India Pvt Ltd (ZS EV),Jsw Mg Motor India Pvt (Zs Ev),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,,,0.0
2024,December,Maruti Suzuki India Ltd (Invicto),Maruti Suzuki India (Invicto),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,0.0,825.0,0.0
2024,December,PCA Motors Pvt. Ltd (C5 Aircross),Pca Motors Pvt. (C5 Aircross),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,0.0,1.0,0.0
2024,December,SkodaAuto India Pvt Ltd (Karoq),Skodaauto India Pvt (Karoq),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,1540.0,2465.0,102.0
2024,December,Toyota Kirloskar Motor Pvt Ltd (Model Manufactured for the sale to other OE),Toyota Kirloskar Motor Pvt (Model Manufactured For The Sale To Other Oe),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,0.0,0.0,0.0
2024,December,Total UV4,Total Uv4,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV4,1743.0,3545.0,152.0
2024,December,FCA India Automobiles Pvt Ltd (Jeep Meridian),Fca India Automobiles Pvt (Jeep Meridian),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,199.0,111.0,159.0
2024,December,Hyundai Motor India Ltd (Ioniq5),Hyundai Motor India (Ioniq5),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,70.0,24.0,0.0
2024,December,Isuzu Motors India Pvt Ltd (MU-X),Isuzu Motors India Pvt (Mu-X),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,0.0,3.0,0.0
2024,December,JSW MG Motor India Pvt Ltd (Gloster),Jsw Mg Motor India Pvt (Gloster),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,100.0,100.0,0.0
2024,December,"Kia India Pvt Ltd (Carnival,EV6)","Kia India Pvt (Carnival,Ev6)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,100.0,164.0,0.0
2024,December,SkodaAuto India Pvt Ltd (Kodiaq),Skodaauto India Pvt (Kodiaq),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,0.0,194.0,0.0
2024,December,"Toyota Kirloskar Motor Pvt Ltd (Fortuner,Hilux,Land Cruiser,Vellfire)","Toyota Kirloskar Motor Pvt (Fortuner,Hilux,Land Cruiser,Vellfire)",Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,1140.0,2405.0,0.0
2024,December,Volkswagen India Pvt Ltd (Tiguan),Volkswagen India Pvt (Tiguan),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,0.0,195.0,0.0
2024,December,Total UV5,Total Uv5,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,1609.0,3196.0,159.0
2024,December,Total Utility Vehicles,Total Utility Vehicles,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,191169.0,171761.0,36346.0
2024,December,C :Vans ; Generally 1 or 1.5 box; seats upto 5 to 10,C :Vans ; Generally 1 Or 1.5 Box; Seats Upto 5 To 10,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,UV5,,,
2024,December,Mahindra & Mahindra Ltd (Maxximo),Mahindra & Mahindra (Maxximo),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V1,0.0,0.0,0.0
2024,December,Maruti Suzuki India Ltd (Eeco),Maruti Suzuki India (Eeco),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V1,12788.0,11678.0,789.0
2024,December,Tata Motors Ltd (Magic Express),Tata Motors (Magic Express),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V1,,,
2024,December,Total V1,Total V1,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V1,12788.0,11678.0,789.0
2024,December,Mahindra & Mahindra Ltd (Supro),Mahindra & Mahindra (Supro),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V2,0.0,0.0,0.0
2024,December,Tata Motors Ltd (Magic Iris),Tata Motors (Magic Iris),Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V2,,,
2024,December,Total V2,Total V2,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V2,0.0,0.0,0.0
2024,December,Total Vans,Total Vans,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V2,12788.0,11678.0,789.0
2024,December,Total Passenger Vehicles,Total Passenger Vehicles,Passenger Vehicles,Utility Vehicles/ Sports Utility Vehicles; 4x2 or 4x4 offroad capability ; Generally ladder on frame ; 2 box ; 5 Seats or more but upto 10 Seats.,V2,320476.0,270704.0,78870.0
2024,December,"Atul Auto Ltd (Atul Gem,Atul Gemini,Atul Mobili,Atul Rik,Atul Rik + 3P ,Atul Rik 3P 200,Rik)","Atul Auto (Atul Gem,Atul Gemini,Atul Mobili,Atul Rik,Atul Rik + 3P ,Atul Rik 3P 200,Rik)",Three Wheelers,Passenger Carrier,A1,592.0,277.0,60.0
2024,December,"Bajaj Auto Ltd (Maxima,Maxima - EV,RE)","Bajaj Auto (Maxima,Maxima - Ev,Re)",Three Wheelers,Passenger Carrier,A1,43999.0,29229.0,15977.0
2024,December,"Baxy Ltd (Baxy EVE PRO,Baxy Express Passenger)","Baxy (Baxy Eve Pro,Baxy Express Passenger)",Three Wheelers,Passenger Carrier,A1,205.0,186.0,21.0
2024,December,"Mahindra & Mahindra Ltd (Alfa,Treo)","Mahindra & Mahindra (Alfa,Treo)",Three Wheelers,Passenger Carrier,A1,3594.0,4555.0,48.0
2024,December,"Piaggio Vehicles Pvt Ltd (Ape Auto,Ape City)","Piaggio Vehicles Pvt (Ape Auto,Ape City)",Three Wheelers,Passenger Carrier,A1,6219.0,4719.0,1068.0
2024,December,TI Clean Mobility Pvt Ltd (L5M),Ti Clean Mobility Pvt (L5M),Three Wheelers,Passenger Carrier,A1,729.0,553.0,0.0
2024,December,"TVS Motor Company Ltd (TVS King 4S,TVS King Electric)","Tvs Motor Company (Tvs King 4S,Tvs King Electric)",Three Wheelers,Passenger Carrier,A1,7664.0,2206.0,7409.0
2024,December,Total A1,Total A1,Three Wheelers,Passenger Carrier,A1,63002.0,41725.0,24583.0
2024,December,"Atul Auto Ltd (Atul Gem,Gemi Paxx)","Atul Auto (Atul Gem,Gemi Paxx)",Three Wheelers,Passenger Carrier,A2,493.0,651.0,0.0
2024,December,Force Motors Ltd (Minidor),Force Motors (Minidor),Three Wheelers,Passenger Carrier,A2,0.0,0.0,0.0
2024,December,Total A2,Total A2,Three Wheelers,Passenger Carrier,A2,493.0,651.0,0.0
2024,December,Total Passenger Carriers,Total Passenger Carriers,Three Wheelers,Passenger Carrier,A2,63495.0,42376.0,24583.0
2024,December,E-Rickshaw,E-Rickshaw,Three Wheelers,Passenger Carrier,A2,,,
2024,December,Atul Auto Ltd (Atul Elite),Atul Auto (Atul Elite),Three Wheelers,Passenger Carrier,A2,190.0,260.0,0.0
2024,December,Baxy Ltd (Baxy E Rath),Baxy (Baxy E Rath),Three Wheelers,Passenger Carrier,A2,199.0,199.0,0.0
2024,December,"Mahindra & Mahindra Ltd (e-Alfa Mini,Treo Yaari)","Mahindra & Mahindra (E-Alfa Mini,Treo Yaari)",Three Wheelers,Passenger Carrier,A2,42.0,639.0,0.0
2024,December,Total E-Rickshaw,Total E-Rickshaw,Three Wheelers,Passenger Carrier,A2,431.0,1098.0,0.0
2024,December,"Atul Auto Ltd (Atul Energie,Atul Gem,Atul Gemini,Atul Samart Aqua,Atul Shakti,Gemi Cargo)","Atul Auto (Atul Energie,Atul Gem,Atul Gemini,Atul Samart Aqua,Atul Shakti,Gemi Cargo)",Three Wheelers,Goods Carrier,B1,1094.0,1241.0,0.0
2024,December,Bajaj Auto Ltd (Maxima),Bajaj Auto (Maxima),Three Wheelers,Goods Carrier,B1,4425.0,4851.0,32.0
2024,December,"Baxy Ltd (Baxy Cargo,Baxy Cargo Super King EV)","Baxy (Baxy Cargo,Baxy Cargo Super King Ev)",Three Wheelers,Goods Carrier,B1,159.0,156.0,0.0
2024,December,"Mahindra & Mahindra Ltd (Alfa,Treo,Zor Grand)","Mahindra & Mahindra (Alfa,Treo,Zor Grand)",Three Wheelers,Goods Carrier,B1,567.0,494.0,0.0
2024,December,Piaggio Vehicles Pvt Ltd (Ape Xtra),Piaggio Vehicles Pvt (Ape Xtra),Three Wheelers,Goods Carrier,B1,2462.0,2328.0,15.0
